category,title,url,embedding,subtitle
Fossil Fuels,Coal production per capita over the long-term,https://ourworldindata.org/grapher/coal-production-per-capita-over-the-long-term,"<iframe src=""https://ourworldindata.org/grapher/coal-production-per-capita-over-the-long-term?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Coal reserves,https://ourworldindata.org/grapher/coal-proved-reserves,"<iframe src=""https://ourworldindata.org/grapher/coal-proved-reserves?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Coal reserves by type,https://ourworldindata.org/grapher/coal-reserves-by-type,"<iframe src=""https://ourworldindata.org/grapher/coal-reserves-by-type?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Cobalt production,https://ourworldindata.org/grapher/cobalt-production,"<iframe src=""https://ourworldindata.org/grapher/cobalt-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Contribution to global mean surface temperature rise from fossil sources,https://ourworldindata.org/grapher/global-warming-fossil,"<iframe src=""https://ourworldindata.org/grapher/global-warming-fossil?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Crude oil prices,https://ourworldindata.org/grapher/crude-oil-prices,"<iframe src=""https://ourworldindata.org/grapher/crude-oil-prices?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Crude oil spot prices,https://ourworldindata.org/grapher/crude-oil-spot-prices,"<iframe src=""https://ourworldindata.org/grapher/crude-oil-spot-prices?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Diamond production,https://ourworldindata.org/grapher/diamond-production,"<iframe src=""https://ourworldindata.org/grapher/diamond-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Electricity generation from coal,https://ourworldindata.org/grapher/electricity-coal,"<iframe src=""https://ourworldindata.org/grapher/electricity-coal?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Electricity generation from fossil fuels,https://ourworldindata.org/grapher/electricity-fossil-fuels,"<iframe src=""https://ourworldindata.org/grapher/electricity-fossil-fuels?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Electricity generation from gas,https://ourworldindata.org/grapher/electricity-gas,"<iframe src=""https://ourworldindata.org/grapher/electricity-gas?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Electricity generation from low-carbon sources,https://ourworldindata.org/grapher/low-carbon-electricity,"<iframe src=""https://ourworldindata.org/grapher/low-carbon-electricity?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Electricity generation from oil,https://ourworldindata.org/grapher/electricity-oil,"<iframe src=""https://ourworldindata.org/grapher/electricity-oil?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Electricity generation from solar and wind compared to coal,https://ourworldindata.org/grapher/electricity-generation-from-solar-and-wind-compared-to-coal,"<iframe src=""https://ourworldindata.org/grapher/electricity-generation-from-solar-and-wind-compared-to-coal?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Employment in the coal industry in the United Kingdom,https://ourworldindata.org/grapher/employment-in-the-coal-industry-in-the-united-kingdom,"<iframe src=""https://ourworldindata.org/grapher/employment-in-the-coal-industry-in-the-united-kingdom?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Fossil fuel consumption,https://ourworldindata.org/grapher/fossil-fuel-consumption-by-type,"<iframe src=""https://ourworldindata.org/grapher/fossil-fuel-consumption-by-type?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Fossil fuel consumption,https://ourworldindata.org/grapher/fossil-fuel-primary-energy,"<iframe src=""https://ourworldindata.org/grapher/fossil-fuel-primary-energy?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Fossil fuel consumption by fuel type,https://ourworldindata.org/grapher/fossil-fuel-consumption-by-fuel-type,"<iframe src=""https://ourworldindata.org/grapher/fossil-fuel-consumption-by-fuel-type?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Fossil fuel consumption per capita,https://ourworldindata.org/grapher/fossil-fuels-per-capita,"<iframe src=""https://ourworldindata.org/grapher/fossil-fuels-per-capita?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Fossil fuel consumption per capita by source,https://ourworldindata.org/grapher/fossil-fuel-consumption-per-capita,"<iframe src=""https://ourworldindata.org/grapher/fossil-fuel-consumption-per-capita?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Fossil fuel consumption per capita by source,https://ourworldindata.org/grapher/fossil-fuel-cons-per-capita,"<iframe src=""https://ourworldindata.org/grapher/fossil-fuel-cons-per-capita?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Fossil fuel price index,https://ourworldindata.org/grapher/fossil-fuel-price-index,"<iframe src=""https://ourworldindata.org/grapher/fossil-fuel-price-index?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Fossil fuel production,https://ourworldindata.org/grapher/fossil-fuel-production,"<iframe src=""https://ourworldindata.org/grapher/fossil-fuel-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Fossil fuel production over the long-term,https://ourworldindata.org/grapher/fossil-fuel-production-over-the-long-term,"<iframe src=""https://ourworldindata.org/grapher/fossil-fuel-production-over-the-long-term?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Fossil fuel production per capita,https://ourworldindata.org/grapher/fossil-fuel-production-per-capita,"<iframe src=""https://ourworldindata.org/grapher/fossil-fuel-production-per-capita?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Fossil-fuel subsidies,https://ourworldindata.org/grapher/fossil-fuel-subsidies,"<iframe src=""https://ourworldindata.org/grapher/fossil-fuel-subsidies?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Fossil-fuel subsidies as a share of GDP,https://ourworldindata.org/grapher/fossil-fuel-subsidies-gdp,"<iframe src=""https://ourworldindata.org/grapher/fossil-fuel-subsidies-gdp?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Fossil-fuel subsidies per capita,https://ourworldindata.org/grapher/fossil-fuel-subsidies-per-capita,"<iframe src=""https://ourworldindata.org/grapher/fossil-fuel-subsidies-per-capita?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,GDP per capita vs. energy use,https://ourworldindata.org/grapher/energy-use-per-capita-vs-gdp-per-capita,"<iframe src=""https://ourworldindata.org/grapher/energy-use-per-capita-vs-gdp-per-capita?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Gas consumption,https://ourworldindata.org/grapher/gas-consumption-by-country,"<iframe src=""https://ourworldindata.org/grapher/gas-consumption-by-country?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Gas consumption by region,https://ourworldindata.org/grapher/natural-gas-consumption-by-region,"<iframe src=""https://ourworldindata.org/grapher/natural-gas-consumption-by-region?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Gas production,https://ourworldindata.org/grapher/gas-production-by-country,"<iframe src=""https://ourworldindata.org/grapher/gas-production-by-country?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Gas reserves,https://ourworldindata.org/grapher/natural-gas-proved-reserves,"<iframe src=""https://ourworldindata.org/grapher/natural-gas-proved-reserves?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Global fossil fuel consumption,https://ourworldindata.org/grapher/global-fossil-fuel-consumption,"<iframe src=""https://ourworldindata.org/grapher/global-fossil-fuel-consumption?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Gold production,https://ourworldindata.org/grapher/gold-production,"<iframe src=""https://ourworldindata.org/grapher/gold-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Graphite production,https://ourworldindata.org/grapher/graphite-production,"<iframe src=""https://ourworldindata.org/grapher/graphite-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Hubbert's peak prediction vs. actual oil production in the United States,https://ourworldindata.org/grapher/hubberts-peak-vs-actual-oil-production-in-the-united-states,"<iframe src=""https://ourworldindata.org/grapher/hubberts-peak-vs-actual-oil-production-in-the-united-states?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Lithium production,https://ourworldindata.org/grapher/lithium-production,"<iframe src=""https://ourworldindata.org/grapher/lithium-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Material footprint per capita,https://ourworldindata.org/grapher/material-footprint-per-capita,"<iframe src=""https://ourworldindata.org/grapher/material-footprint-per-capita?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Natural gas prices,https://ourworldindata.org/grapher/natural-gas-prices,"<iframe src=""https://ourworldindata.org/grapher/natural-gas-prices?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Natural gas production by region,https://ourworldindata.org/grapher/natural-gas-production-by-region-terawatt-hours-twh,"<iframe src=""https://ourworldindata.org/grapher/natural-gas-production-by-region-terawatt-hours-twh?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Oil consumption,https://ourworldindata.org/grapher/oil-consumption-by-country,"<iframe src=""https://ourworldindata.org/grapher/oil-consumption-by-country?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Oil consumption by region,https://ourworldindata.org/grapher/oil-consumption-by-region-terawatt-hours-twh,"<iframe src=""https://ourworldindata.org/grapher/oil-consumption-by-region-terawatt-hours-twh?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Oil production,https://ourworldindata.org/grapher/oil-production-by-country,"<iframe src=""https://ourworldindata.org/grapher/oil-production-by-country?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Oil production by region,https://ourworldindata.org/grapher/oil-production-by-region,"<iframe src=""https://ourworldindata.org/grapher/oil-production-by-region?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Oil production per capita,https://ourworldindata.org/grapher/oil-prod-per-capita,"<iframe src=""https://ourworldindata.org/grapher/oil-prod-per-capita?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Oil reserves,https://ourworldindata.org/grapher/oil-proved-reserves,"<iframe src=""https://ourworldindata.org/grapher/oil-proved-reserves?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Per capita CO2 emissions by fuel type,https://ourworldindata.org/grapher/per-capita-co2-fuel,"<iframe src=""https://ourworldindata.org/grapher/per-capita-co2-fuel?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Per capita CO2 emissions from coal,https://ourworldindata.org/grapher/per-capita-co2-coal,"<iframe src=""https://ourworldindata.org/grapher/per-capita-co2-coal?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Per capita CO2 emissions from gas,https://ourworldindata.org/grapher/per-capita-co2-gas,"<iframe src=""https://ourworldindata.org/grapher/per-capita-co2-gas?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Per capita CO2 emissions from oil,https://ourworldindata.org/grapher/per-capita-co2-oil,"<iframe src=""https://ourworldindata.org/grapher/per-capita-co2-oil?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Per capita energy consumption from coal,https://ourworldindata.org/grapher/coal-consumption-per-capita,"<iframe src=""https://ourworldindata.org/grapher/coal-consumption-per-capita?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Per capita fossil energy consumption vs. GDP per capita,https://ourworldindata.org/grapher/per-capita-fossil-energy-vs-gdp,"<iframe src=""https://ourworldindata.org/grapher/per-capita-fossil-energy-vs-gdp?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Per capita gas consumption,https://ourworldindata.org/grapher/per-capita-gas,"<iframe src=""https://ourworldindata.org/grapher/per-capita-gas?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Per capita oil consumption,https://ourworldindata.org/grapher/per-capita-oil,"<iframe src=""https://ourworldindata.org/grapher/per-capita-oil?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,"Real commodity price index, metals",https://ourworldindata.org/grapher/real-commodity-price-index-metals,"<iframe src=""https://ourworldindata.org/grapher/real-commodity-price-index-metals?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,"Share of electricity generation from fossil fuels, renewables and nuclear",https://ourworldindata.org/grapher/electricity-fossil-renewables-nuclear-line,"<iframe src=""https://ourworldindata.org/grapher/electricity-fossil-renewables-nuclear-line?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Share of electricity production from coal,https://ourworldindata.org/grapher/share-electricity-coal,"<iframe src=""https://ourworldindata.org/grapher/share-electricity-coal?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Share of electricity production from fossil fuels,https://ourworldindata.org/grapher/share-electricity-fossil-fuels,"<iframe src=""https://ourworldindata.org/grapher/share-electricity-fossil-fuels?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Share of electricity production from gas,https://ourworldindata.org/grapher/share-electricity-gas,"<iframe src=""https://ourworldindata.org/grapher/share-electricity-gas?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Share of electricity production from oil,https://ourworldindata.org/grapher/share-electricity-oil,"<iframe src=""https://ourworldindata.org/grapher/share-electricity-oil?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Share of primary energy consumption from coal,https://ourworldindata.org/grapher/coal-energy-share,"<iframe src=""https://ourworldindata.org/grapher/coal-energy-share?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Share of primary energy consumption from fossil fuels,https://ourworldindata.org/grapher/fossil-fuels-share-energy,"<iframe src=""https://ourworldindata.org/grapher/fossil-fuels-share-energy?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Share of primary energy consumption from gas,https://ourworldindata.org/grapher/gas-share-energy,"<iframe src=""https://ourworldindata.org/grapher/gas-share-energy?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Share of primary energy consumption from oil,https://ourworldindata.org/grapher/oil-share-energy,"<iframe src=""https://ourworldindata.org/grapher/oil-share-energy?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,"Share of the workforce employed in the coal industry, United Kingdom",https://ourworldindata.org/grapher/share-of-the-workforce-employed-in-the-coal-industry-united-kingdom,"<iframe src=""https://ourworldindata.org/grapher/share-of-the-workforce-employed-in-the-coal-industry-united-kingdom?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Total natural resource rents,https://ourworldindata.org/grapher/natural-resource-rents,"<iframe src=""https://ourworldindata.org/grapher/natural-resource-rents?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Wealth per capita by asset group,https://ourworldindata.org/grapher/wealth-per-capita-by-asset-group-with-natural-capital-disaggregated-in-2014-us-dollars,"<iframe src=""https://ourworldindata.org/grapher/wealth-per-capita-by-asset-group-with-natural-capital-disaggregated-in-2014-us-dollars?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,When will countries phase out coal power?,https://ourworldindata.org/grapher/coal-phase-out-timeline,"<iframe src=""https://ourworldindata.org/grapher/coal-phase-out-timeline?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,World crude oil price vs. oil consumption,https://ourworldindata.org/grapher/world-crude-oil-price-vs-oil-consumption,"<iframe src=""https://ourworldindata.org/grapher/world-crude-oil-price-vs-oil-consumption?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Fossil Fuels,Years of fossil fuel reserves left,https://ourworldindata.org/grapher/years-of-fossil-fuel-reserves-left,"<iframe src=""https://ourworldindata.org/grapher/years-of-fossil-fuel-reserves-left?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Future Population Growth,Births and deaths per year,https://ourworldindata.org/grapher/births-and-deaths-projected-to-2100,"<iframe src=""https://ourworldindata.org/grapher/births-and-deaths-projected-to-2100?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Future Population Growth,Children per woman vs. Natural population growth,https://ourworldindata.org/grapher/children-per-woman-vs-population-growth,"<iframe src=""https://ourworldindata.org/grapher/children-per-woman-vs-population-growth?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Future Population Growth,"Children under age 15, by world region",https://ourworldindata.org/grapher/population-younger-than-15-with-projections,"<iframe src=""https://ourworldindata.org/grapher/population-younger-than-15-with-projections?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Future Population Growth,"Children under age 5, by world region",https://ourworldindata.org/grapher/projected-population-under-age-5,"<iframe src=""https://ourworldindata.org/grapher/projected-population-under-age-5?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Future Population Growth,Fertility rate: children per woman,https://ourworldindata.org/grapher/fertility-rate-with-projections,"<iframe src=""https://ourworldindata.org/grapher/fertility-rate-with-projections?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Future Population Growth,Natural population growth rate vs. child mortality rate,https://ourworldindata.org/grapher/child-mortality-vs-population-growth,"<iframe src=""https://ourworldindata.org/grapher/child-mortality-vs-population-growth?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Future Population Growth,Population,https://ourworldindata.org/grapher/population-with-un-projections,"<iframe src=""https://ourworldindata.org/grapher/population-with-un-projections?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Future Population Growth,Population,https://ourworldindata.org/grapher/population-long-run-with-projections,"<iframe src=""https://ourworldindata.org/grapher/population-long-run-with-projections?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Future Population Growth,Population by age group,https://ourworldindata.org/grapher/population-by-age-group-with-projections,"<iframe src=""https://ourworldindata.org/grapher/population-by-age-group-with-projections?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Future Population Growth,Population growth rate,https://ourworldindata.org/grapher/population-growth-rates,"<iframe src=""https://ourworldindata.org/grapher/population-growth-rates?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Future Population Growth,"Population of young, working-age and elderly",https://ourworldindata.org/grapher/population-young-working-elderly-with-projections,"<iframe src=""https://ourworldindata.org/grapher/population-young-working-elderly-with-projections?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Future Population Growth,"Population, comparison of United Nations projections",https://ourworldindata.org/grapher/comparison-of-world-population-projections,"<iframe src=""https://ourworldindata.org/grapher/comparison-of-world-population-projections?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Future Population Growth,"World population, comparison of UN projections",https://ourworldindata.org/grapher/world-population-projections-by-un-prospects-revision,"<iframe src=""https://ourworldindata.org/grapher/world-population-projections-by-un-prospects-revision?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Gender Ratio,Annual number of missing female births and excess mortality,https://ourworldindata.org/grapher/missing-female-births-and-excess-mortality,"<iframe src=""https://ourworldindata.org/grapher/missing-female-births-and-excess-mortality?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Gender Ratio,Child death rates by cause for boys vs. girls in India,https://ourworldindata.org/grapher/child-deaths-by-cause-by-sex-india,"<iframe src=""https://ourworldindata.org/grapher/child-deaths-by-cause-by-sex-india?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Gender Ratio,Gender gap in leisure time,https://ourworldindata.org/grapher/minutes-spent-on-leisure,"<iframe src=""https://ourworldindata.org/grapher/minutes-spent-on-leisure?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Gender Ratio,Life expectancy: females versus males,https://ourworldindata.org/grapher/life-expectancy-of-women-vs-life-expectancy-of-men,"<iframe src=""https://ourworldindata.org/grapher/life-expectancy-of-women-vs-life-expectancy-of-men?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Gender Ratio,Number of 'missing women' in the world,https://ourworldindata.org/grapher/global-number-of-missing-women,"<iframe src=""https://ourworldindata.org/grapher/global-number-of-missing-women?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Gender Ratio,"Prevalence of drug use disorders, males vs. females",https://ourworldindata.org/grapher/prevalence-of-drug-use-disorders-males-vs-females,"<iframe src=""https://ourworldindata.org/grapher/prevalence-of-drug-use-disorders-males-vs-females?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Gender Ratio,Prevalence of mental health disorders in males vs. females,https://ourworldindata.org/grapher/share-with-mental-health-males-vs-females,"<iframe src=""https://ourworldindata.org/grapher/share-with-mental-health-males-vs-females?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Gender Ratio,Ratio of female to male labor force participation rates,https://ourworldindata.org/grapher/ratio-of-female-to-male-labor-force-participation-rates-slopes,"<iframe src=""https://ourworldindata.org/grapher/ratio-of-female-to-male-labor-force-participation-rates-slopes?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Gender Ratio,Representation of women in the judiciary,https://ourworldindata.org/grapher/representation-of-women-in-the-judiciary,"<iframe src=""https://ourworldindata.org/grapher/representation-of-women-in-the-judiciary?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Gender Ratio,Sex ratio at birth,https://ourworldindata.org/grapher/sex-ratio-at-birth,"<iframe src=""https://ourworldindata.org/grapher/sex-ratio-at-birth?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
